车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
宝马Z4 2012款 sDrive35i豪华型(进口),28.8,85.54,2013,6.47,3.0T,0,8
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i真皮版,9.1,14.63,2017,3.44,1.2T,0,4
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.9,9.31,2018,3.24,1.5L,0,3
大众 迈腾 2015款 改款 1.8TSI 豪华型,12.8,25.27,2015,7.61,1.8T,0,6
奥迪A3 2017款 Limousine 35 TFSI 时尚型,13.05,23.73,2017,8.42,1.4T,0,4
本田 飞度 2011款 1.3L 自动舒适版,3.68,9.75,2012,9.42,1.3L,0,9
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,23.5,37.22,2018,6.69,2.0T,0,3
宝马3系 2017款 320i M运动型,22.98,34.74,2017,3.0,2.0T,0,4
日产 逍客 2017款 2.0L CVT智享版 国V,11.2,17.13,2018,5.11,2.0L,0,3
领克03 2020款 03+ 2.0TD 自动驭风版,18.6,21.58,2020,0.99,2.0T,0,1
大众 速腾 2017款 230TSI 自动舒适型,11.28,17.45,2017,4.4,1.4T,0,4
丰田C-HR 2020款 2.0L 豪华版,14.6,18.32,2020,1.54,2.0L,0,1
大众POLO 2016款 1.6L 自动舒适型,7.88,11.28,2018,1.55,1.6L,0,3
宝马3系 2018款 320Li 领先型M运动套装,23.0,37.97,2017,6.62,2.0T,0,4
吉利 自由舰 2012款 1.5L 手动运动型II,1.2,4.87,2012,12.3,1.5L,1,9
大众POLO 2016款 1.6L 自动舒适型,7.8,11.28,2017,4.27,1.6L,0,4
大众 捷达 2017款 1.5L 自动舒适型,6.76,11.68,2018,3.9,1.5L,0,3
雪佛兰 科鲁兹 2017款 1.5L 两厢 自动先锋天窗版,7.08,13.56,2017,4.58,1.5L,0,4
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,10.0,20.6,2016,8.5,1.5T,0,5
别克 威朗 2020款 20T CVT领先型,10.58,17.68,2020,1.72,1.3T,0,1
现代ix25 2015款 1.6L 自动两驱智能型GLS,8.58,15.5,2016,6.0,1.6L,0,5
福特 翼虎 2013款 2.0L GTDi 四驱精英型,7.66,27.44,2013,12.7,2.0T,0,8
大众POLO 2019款 Plus 1.5L 自动Beats潮酷版,9.65,13.45,2020,2.06,1.5L,0,1
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.88,10.29,2019,2.8,1.5L,0,2
起亚 智跑 2018款 2.0L 自动智享豪华版 国V,11.2,15.19,2019,2.78,2.0L,0,2
大众 迈腾 2019款 330TSI DSG 领先型 国V,17.8,23.35,2019,4.52,2.0T,0,2
吉利 帝豪 2017款 三厢百万款 1.5L CVT豪华型,4.58,9.31,2017,4.6,1.5L,0,4
丰田 威驰 2017款 1.5L CVT创行版,7.8,9.53,2019,0.46,1.5L,0,2
宝马5系 2014款 520Li 典雅型,23.98,47.28,2015,8.13,2.0T,0,6
大众POLO 2016款 1.6L 自动舒适型,7.19,11.28,2018,1.48,1.6L,0,3
日产 奇骏 2014款 2.0L CVT舒适版 2WD,14.38,21.36,2016,2.8,2.0L,0,5
马自达6 2013款 2.0L 自动时尚型,6.58,16.04,2013,10.8,2.0L,0,8
大众 速腾 2014款 1.4TSI 自动豪华型,7.38,18.21,2014,6.74,1.4T,0,7
大众 途观 2016款 280TSI 自动两驱丝绸之路风尚版,11.8,21.14,2017,5.14,1.4T,0,4
日产 轩逸 2012款 经典 1.6XE 自动舒适版,5.98,11.92,2015,6.2,1.6L,0,6
现代 全新胜达 2013款 2.0T 自动两驱尊贵型,9.98,30.59,2014,8.33,2.0T,0,7
哈弗F5 2018款 1.5T i潮,7.98,12.59,2018,2.69,1.5T,0,3
大众 途观L 2018款 330TSI 自动两驱豪华版,17.98,28.2,2018,4.7,2.0T,0,3
雪佛兰 创酷 2014款 1.4T 手动两驱舒适型,4.35,11.93,2014,8.25,1.4T,1,7
奥迪A4L 2017款 40 TFSI 进取型,20.28,32.54,2017,5.3,2.0T,0,4
起亚KX5 2016款 1.6T 自动两驱DLX,9.0,19.19,2016,7.6,1.6T,0,5
现代 悦纳 2016款 1.4L 自动炫酷版GLS,6.1,9.53,2017,6.4,1.4L,0,4
雪佛兰 创酷 2019款 Redline 325T 自动趣版 国VI,9.22,13.88,2020,0.48,1.0T,0,1
大众CC 2016款 1.8TSI 豪华型,15.38,29.18,2016,9.6,1.8T,0,5
日产 骐达 2016款 1.6L CVT智尊版,8.58,14.64,2017,5.9,1.6L,0,4
大众 迈腾 2013款 2.0TSI 豪华型,10.5,26.9,2014,8.0,2.0T,0,7
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,17.6,25.68,2019,4.2,1.4T,0,2
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
大众 迈腾 2017款 380TSI DSG 尊贵型,15.9,29.73,2016,14.6,2.0T,0,5
大众 速腾 2014款 1.4TSI 手动豪华型,6.05,16.69,2014,7.65,1.4T,1,7
大众CC 2012款 1.8TSI 豪华型,10.0,28.85,2014,14.12,1.8T,0,7
大众 宝来 2019款 改款 1.5L 自动舒适型 国VI,9.3,14.65,2019,1.77,1.5L,0,2
马自达6 2013款 2.0L 自动超豪华型,5.95,17.35,2014,5.3,2.0L,0,7
大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014,8.0,1.8T,0,7
吉利 缤瑞 2018款 14T CVT缤纷版,7.3,9.96,2019,1.86,1.4T,0,2
大众 朗逸 2017款 1.6L 自动舒适版,8.38,14.53,2018,4.89,1.6L,0,3
宝马1系 2017款 118i 运动型,14.2,24.94,2017,4.58,1.5T,0,4
吉利 熊猫 2011款 1.3L 自动尊贵型,2.8,5.96,2011,4.9,1.3L,0,10
别克 君越 2018款 20T 豪华型,16.48,28.2,2019,3.35,1.5T,0,2
别克GL8 2020款 ES陆尊 653T 豪华型,39.5,41.24,2020,1.46,2.0T,0,1
宝马X1 2019款 sDrive18Li 时尚型,20.98,30.05,2019,0.94,1.5T,0,2
福特 嘉年华 2011款 两厢 1.5L 自动劲动型,3.88,12.25,2012,12.1,1.5L,0,9
大众 帕萨特 2017款 280TSI DSG尊荣版,14.5,23.0,2019,5.78,1.4T,0,2
大众CC 2010款 2.0TSI 尊贵型,8.88,29.07,2010,11.3,2.0T,0,11
本田CR-V 2015款 2.4L 四驱豪华版,16.7,26.03,2016,9.28,2.4L,0,5
本田 凌派 2015款 1.8L 自动舒适版,7.98,13.55,2014,11.32,1.8L,0,7
哈弗M6 2019款 1.5T DCT两驱精英型 国VI,7.68,8.9,2020,2.4,1.5T,0,1
大众 2019款 宝来·传奇 1.5L 自动时尚型 国V,7.88,11.81,2019,1.12,1.5L,0,2
大众 捷达 2017款 1.4L 手动时尚型,5.2,8.67,2019,2.2,1.4L,1,2
马自达 阿特兹 2020款 2.0L 蓝天豪华版,16.68,20.6,2020,1.16,2.0L,0,1
大众 速腾 2018款 1.6L 自动舒适型,9.39,16.04,2019,6.1,1.6L,0,2
现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.5,14.52,2019,2.59,1.6T,0,2
大众 途观 2015款 1.8TSI 自动两驱豪华型,10.58,28.2,2015,15.97,1.8T,0,6
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.2,25.38,2012,15.43,1.8T,0,9
大众 速腾 2015款 1.6L 自动舒适型,8.08,16.37,2015,4.16,1.6L,0,6
现代 朗动 2015款 1.6L 手动领先型,5.08,12.57,2016,10.3,1.6L,1,5
哈弗H4 2020款 乐享版 1.5T DCT劲,7.68,9.98,2020,1.2,1.5T,0,1
奔驰M级 2008款 ML 350 4MATIC豪华型(进口),12.28,97.48,2010,14.2,3.5L,0,11
宝马X1 2016款 sDrive18Li 尊享型,17.6,33.22,2017,4.59,1.5T,0,4
大众 捷达 2015款 质惠版 1.6L 自动舒适型,5.8,11.46,2016,10.02,1.6L,0,5
奔驰CLA级 2016款 改款 CLA 220 4MATIC(进口),22.8,34.63,2017,4.23,2.0T,0,4
大众 宝来 2012款 1.6L 自动时尚型,4.2,13.0,2012,9.9,1.6L,0,9
现代 名图 2016款 1.8L 自动智能型GLS,8.7,16.26,2016,4.71,1.8L,0,5
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.0,21.36,2015,9.81,2.0L,0,6
雪佛兰 迈锐宝 2017款 1.5T 自动舒适版,8.28,17.9,2017,7.83,1.5T,0,4
丰田 锐志 2013款 2.5V 尚锐版,12.38,26.36,2014,12.0,2.5L,0,7
大众 宝来 2014款 1.6L 自动舒适型,6.18,13.93,2015,6.12,1.6L,0,6
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,7.25,13.56,2018,4.66,1.6L,0,3
现代 朗动 2016款 1.6L 自动尊贵型,7.18,13.87,2017,1.66,1.6L,0,4
大众 迈腾 2013款 2.0TSI 至尊型,11.98,31.78,2014,12.0,2.0T,0,7
大众POLO 2019款 Plus 1.5L 自动Beats潮酷版,9.65,13.45,2020,2.06,1.5L,0,1
别克GL6 2018款 18T 6座尊贵型,10.98,18.12,2018,4.0,1.3T,0,3
日产 天籁 2016款 2.0L XE时尚版,15.98,19.08,2019,1.45,2.0L,0,2
日产 轩逸 2020款 1.6L XL CVT智享版,12.36,14.53,2020,2.2,1.6L,0,1
马自达 阿特兹 2020款 2.5L 蓝天尊崇版,18.88,23.75,2020,0.8,2.5L,0,1
奔驰R级 2014款 R 320 4MATIC 豪华型(进口),32.88,73.59,2015,8.59,3.0T,0,6
宝马X1 2012款 sDrive20i 领先型,10.58,39.29,2012,10.22,2.0T,0,9
奔驰C级 2019款 C 180 L 时尚型运动版,26.6,34.28,2019,5.07,1.6T,0,2
福特 蒙迪欧 2018款 EcoBoost 180 时尚型,15.0,20.93,2018,17.0,1.5T,0,3
大众 捷达 2017款 1.4L 手动舒适型,5.3,9.98,2017,9.7,1.4L,1,4
奔驰C级 2019款 C 260 运动版,27.8,33.74,2019,1.6,1.5T,0,2
荣威eRX5 2017款 eRX5 50T 混动互联尊荣旗舰版,13.99,31.03,2019,2.43,1.5T,0,2
哈弗H6 Coupe 2016款 蓝标 1.5T 自动两驱精英型,7.75,13.57,2016,5.8,1.5T,0,5
本田CR-V 2012款 2.0L 两驱都市版,11.8,21.04,2014,7.0,2.0L,0,7
大众 宝来 2014款 1.6L 自动舒适型,6.5,13.93,2015,7.02,1.6L,0,6
本田 歌诗图 2016款 2.4L 豪华版,14.8,28.2,2016,5.63,2.4L,0,5
本田 艾力绅 2016款 2.4L 豪华版,28.5,31.78,2019,3.6,2.4L,0,2
大众 帕萨特 2016款 330TSI DSG尊荣版,13.58,24.2,2016,9.01,1.8T,0,5
马自达6 2015款 2.0L 自动经典型,8.18,15.17,2015,5.15,2.0L,0,6
哈弗H4 2018款 红标 1.5GDIT DCT风尚型,8.2,12.59,2018,1.3,1.5T,0,3
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,4.98,11.05,2016,8.58,1.5T,1,5
宝马3系 2017款 320Li 时尚型,22.8,35.38,2017,6.91,2.0T,0,4
大众 迈腾 2011款 2.0TSI DSG舒适型,5.67,27.33,2010,13.3,2.0T,0,11
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,7.38,14.97,2016,5.11,1.6L,0,5
大众POLO 2016款 1.4L 自动风尚型,6.3,9.54,2017,8.39,1.4L,0,4
本田 思域 2016款 1.8L 自动舒适版,8.38,15.17,2016,4.4,1.8L,0,5
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,23.38,28.74,2020,2.3,1.3T,0,1
大众 迈腾 2017款 330TSI DSG 豪华型,15.58,25.5,2017,7.8,1.8T,0,4
本田 思域 2014款 2.4L 手动Si,17.5,21.69,2015,5.0,2.4L,1,6
起亚 2015款 索兰托L 2.4L 汽油4WD尊贵版 7座 国IV(进口),14.9,34.58,2015,8.59,2.4L,0,6
宝马3系GT 2019款 320i M运动套装(进口),29.8,39.06,2020,2.22,2.0T,0,1
奥迪Q5 2015款 40 TFSI 技术型,21.8,46.85,2015,10.16,2.0T,0,6
吉利 博瑞 2017款 1.8T 旗舰型,9.0,19.19,2018,11.68,1.8T,0,3
奥迪A4L 2013款 35 TFSI 自动标准型,15.5,33.63,2014,13.91,2.0T,0,7
奔驰E级 2015款 E 180 L 运动型,22.98,43.2,2015,12.3,2.0T,0,6
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,7.98,13.56,2018,11.1,1.6L,0,3
现代 全新胜达 2017款 2.0T 自动四驱智能型 7座,13.9,27.12,2017,7.87,2.0T,0,4
别克 君威 2017款 GS 28T 豪华型,16.38,26.03,2018,5.63,2.0T,0,3
吉利 远景SUV 2019款 1.4T CVT 4G互联旗舰型 国VI,7.58,11.5,2019,1.68,1.4T,0,2
大众 高尔夫 2011款 2.0TSI GTI,8.88,25.6,2011,14.0,2.0T,0,10
奔驰SLK级 2011款 SLK 200 时尚型(进口),27.5,63.83,2015,4.63,1.8T,0,6
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,6.5,13.56,2017,4.57,1.5L,0,4
大众CC 2016款 1.8TSI 豪华型,16.38,29.18,2017,7.76,1.8T,0,4
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,9.38,17.26,2017,7.0,2.0T,0,4
大众CC 2016款 2.0TSI 豪华型,17.58,30.81,2017,3.5,2.0T,0,4
现代 名图 2014款 1.8L 自动尊贵型DLX,7.9,17.35,2015,6.6,1.8L,0,6
奔驰E级 2014款 E 200 轿跑版(进口),22.73,57.53,2015,5.41,2.0T,0,6
吉利 博越 2016款 1.8TD 自动智联型,8.88,13.87,2017,4.39,1.8T,0,4
奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,18.0,28.83,2018,1.89,1.4T,0,3
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,24.47,33.32,2018,1.55,2.0T,0,3
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
日产 轩逸 2019款 1.6XV CVT智联尊享版 国V,9.98,15.23,2019,0.26,1.6L,0,2
大众 高尔夫 2011款 1.4TSI 自动豪华型,5.98,18.11,2011,14.0,1.4T,0,10
别克 君越 2013款 3.0L SIDI V6智享旗舰型,9.18,40.15,2013,11.44,3.0L,0,8
宝马X2 2020款 sDrive20i M越野套装,22.0,28.96,2020,1.22,1.5T,0,1
大众 甲壳虫 2013款 1.2TSI 时尚型(进口),11.3,21.58,2014,7.6,1.2T,0,7
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.2,10.38,2017,6.7,1.6L,0,4
本田 哥瑞 2016款 1.5L CVT经典版,7.4,9.75,2019,1.21,1.5L,0,2
奥迪A6L 2015款 TFSI 百万纪念智领型,22.88,43.22,2016,11.84,2.0T,0,5
奥迪A6L 2015款 TFSI 百万纪念智领型,19.5,43.22,2015,7.5,2.0T,0,6
大众 途昂 2019款 380TSI 四驱舒适版 国V,27.1,34.83,2019,3.55,2.0T,0,2
大众 迈腾 2015款 1.8TSI 豪华型,10.98,25.27,2014,13.0,1.8T,0,7
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,27.98,32.0,2017,2.31,2.0T,0,4
大众 途观 2016款 280TSI 自动两驱丝绸之路风尚版,11.58,21.14,2017,4.0,1.4T,0,4
大众 帕萨特 2011款 1.8TSI DSG御尊版,8.58,26.03,2012,8.7,1.8T,0,9
雪佛兰 科沃兹 2019款 320 自动欣悦版,6.1,10.84,2018,2.23,1.5L,0,3
雪佛兰 迈锐宝 2018款 530T 自动豪华版,9.98,19.53,2018,6.9,1.5T,0,3
福特 锐界 2018款 EcoBoost 245 四驱豪锐型 7座,20.88,32.54,2018,2.6,2.0T,0,3
大众 捷达 2013款 1.6L 自动时尚型,6.0,10.67,2014,10.51,1.6L,0,7
奔驰E级 2016款 E 300 L 运动豪华型,33.6,54.25,2016,5.31,2.0T,0,5
日产 逍客 2012款 2.0XL 火 CVT 2WD,7.2,17.89,2014,6.66,2.0L,0,7
大众CC 2019款 330TSI 魅颜版 国V,21.8,28.53,2019,1.8,2.0T,0,2
福特 锐界 2018款 EcoBoost 245 两驱铂锐型 7座 国V,21.88,28.2,2019,2.51,2.0T,0,2
起亚 奕跑 2021款 1.4L 自动趣享版,7.68,8.66,2021,0.25,1.4L,0,0
大众 朗逸 2018款 280TSI DSG舒适版 国V,12.5,15.95,2018,4.51,1.4T,0,3
大众 高尔夫 2015款 1.4TSI 自动舒适型,9.5,16.81,2016,9.4,1.4T,0,5
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,10.98,15.19,2019,3.3,1.5L,0,2
大众POLO 2007款 1.6L Cross POLO AT,3.08,12.81,2009,8.0,1.6L,0,12
哈弗H6 2018款  蓝标 1.5T 自动超豪型,8.88,15.41,2018,5.5,1.5T,0,3
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.8,16.81,2017,6.67,1.4T,0,4
丰田 普拉多 2016款 2.7L 自动标准版,35.38,42.31,2015,7.04,2.7L,0,6
大众CC 2015款 2.0TSI 豪华型,13.86,30.81,2015,9.5,2.0T,0,6
现代 全新胜达 2017款 2.4L 自动两驱智能型 5座,11.8,26.03,2017,4.51,2.4L,0,4
宝马5系 2014款 525Li 风尚设计套装,22.68,54.23,2014,14.37,2.0T,0,7
本田CR-V 2017款 240TURBO CVT四驱尊贵版,16.99,25.16,2018,1.95,1.5T,0,3
本田 思域 2019款 220TURBO CVT劲动版 国V,12.5,15.19,2019,1.25,1.5T,0,2
雪佛兰 迈锐宝 2018款 530T 自动风尚版,9.54,18.44,2018,3.89,1.5T,0,3
大众 捷达 2019款 梦想版 1.5L 手动时尚型,5.68,9.2,2018,3.58,1.5L,1,3
大众POLO 2016款 1.4L 手动风尚型,4.75,8.24,2016,8.13,1.4L,1,5
马自达CX-5 2015款 2.0L 自动两驱都市型,12.5,20.71,2017,4.8,2.0L,0,4
大众 捷达 2010款 1.6L 伙伴,2.88,8.23,2012,11.45,1.6L,1,9
大众 迈腾 2013款 1.8TSI 豪华型,10.58,25.27,2014,8.0,1.8T,0,7
大众 宝来 2011款 1.6L 自动时尚型,3.5,13.0,2010,10.2,1.6L,0,11
丰田 汉兰达 2015款 2.0T 两驱精英版 5座,14.58,26.03,2014,9.6,2.7T,0,7
大众 迈腾 2019款 280TSI DSG 舒适型 国V,14.68,20.2,2018,4.23,1.4T,0,3
本田 飞度 2020款 1.5L CVT舒适版,8.18,8.88,2020,0.96,1.5L,0,1
大众CC 2015款 1.8TSI 豪华型,13.98,29.18,2015,8.0,1.8T,0,6
奥迪Q2L 2018款 35TFSI 时尚致雅型 国VI,16.88,25.68,2019,3.02,1.4T,0,2
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,17.9,52.65,2013,8.0,3.0L,0,8
现代 瑞纳 2014款 1.4L 自动智能型GLS,4.18,9.43,2014,6.7,1.4L,0,7
别克 凯越 2011款 1.6LE-AT,2.3,12.8,2010,10.1,1.6L,0,11
宝马X1 2016款 sDrive18Li 时尚型,18.0,31.04,2017,4.33,1.5T,0,4
大众 高尔夫 2012款 1.6 自动舒适型,6.8,14.42,2013,7.25,1.6L,0,8
现代 菲斯塔 2019款 280TGDi 智速版 国V,11.3,15.28,2018,1.5,1.6T,0,3
宝马3系 2017款 320Li 时尚型,21.68,35.38,2016,6.74,2.0T,0,5
奥迪Q3 2015款 30 TFSI 舒适型,13.2,31.46,2014,10.0,1.4T,0,7
起亚K5 2012款 2.0L 自动DLX,7.28,20.49,2013,9.4,2.0L,0,8
雪佛兰 乐风RV 2016款 1.5L 自动智行版,5.2,9.76,2018,3.83,1.5L,0,3
大众 速腾 2012款 1.4TSI 自动豪华型,6.66,18.21,2013,8.07,1.4T,0,8
起亚K3 2016款 1.6L 自动GLS,6.68,12.9,2016,10.69,1.6L,0,5
大众 途观 2012款 1.8TSI 自动两驱菁英版,8.28,27.66,2012,8.26,1.8T,0,9
大众CC 2015款 1.8TSI 尊贵型,14.98,27.44,2015,6.43,1.8T,0,6
大众 速腾 2011款 1.6L 手动舒适型,3.4,14.74,2011,9.38,1.6L,1,10
马自达CX-5 2014款 2.0L 自动两驱都市型,9.88,21.04,2015,10.3,2.0L,0,6
福特 福克斯 2020款 三厢 EcoBoost 180 自动锋潮型,10.98,14.85,2019,2.4,1.5T,0,2
吉利 博越 2018款 1.8TD 自动两驱智联型4G互联版,9.18,14.09,2019,3.07,1.8T,0,2
本田 锋范经典 2011款 1.5L 自动精英品致版,4.98,12.68,2012,9.66,1.5L,0,9
宝马1系 2011款 120i 双门轿跑车(进口),9.18,34.74,2012,16.98,2.0L,0,9
宝马5系 2013款 525Li 豪华型,20.1,53.69,2013,12.3,2.0T,0,8
大众 迈腾 2016款 1.8TSI 智享舒适型,12.95,23.1,2017,6.54,1.8T,0,4
大众 速腾 2018款 280TSI DSG熠动版,11.38,17.78,2019,4.0,1.4T,0,2
哈弗H7 2016款 蓝标H7 2.0T 自动豪华型,7.5,17.26,2016,5.81,2.0T,0,5
马自达MX-5 2009款 2.0(进口),12.8,32.54,2010,9.0,2.0L,0,11
吉利 博越 2016款 1.8TD 自动智慧型,6.77,15.17,2016,6.14,1.8T,0,5
大众 宝来 2015款 质惠版 1.6L 手动时尚型,5.0,11.38,2015,10.7,1.6L,1,6
大众POLO 2016款 1.4L 自动风尚型,6.45,9.54,2017,4.45,1.4L,0,4
吉利 远景X3 2017款 1.5L 自动尊贵型,5.05,7.15,2018,3.5,1.5L,0,3
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,8.38,15.08,2016,5.02,1.5L,0,5
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.28,16.81,2017,6.1,1.4T,0,4
本田 艾力绅 2016款 2.4L 豪华版,25.39,31.78,2017,5.94,2.4L,0,4
大众 途观 2013款 1.8TSI 自动两驱舒适版,9.8,25.81,2014,8.12,1.8T,0,7
大众 高尔夫 2017款 230TSI 自动豪华百万辆纪念版,10.5,18.01,2017,5.3,1.4T,0,4
大众 捷达 2017款 1.4L 手动时尚型,5.2,8.67,2019,2.2,1.4L,1,2
大众 宝来 2015款 质惠版 1.6L 手动舒适型,5.8,12.3,2015,8.0,1.6L,1,6
现代 名图 2014款 1.8L 自动智能型GLS,8.88,16.26,2014,8.61,1.8L,0,7
别克GL8 2011款 3.0L XT豪华商务旗舰版,12.2,42.12,2012,19.0,3.0L,0,9
大众 捷达 2013款 1.6L 手动时尚型,3.88,9.58,2014,10.7,1.6L,1,7
别克GL8 2015款 2.4L 豪华商务尊享版,18.0,33.64,2017,7.5,2.4L,0,4
马自达 阿特兹 2017款 2.0L 蓝天豪华版,12.93,20.6,2017,7.02,2.0L,0,4
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,5.68,11.05,2016,4.83,1.5T,1,5
本田 艾力绅 2019款 2.0L 混动豪华版,29.58,33.63,2020,3.3,2.0L,0,1
大众 迈腾 2017款 330TSI DSG 豪华型,15.6,25.5,2017,6.44,1.8T,0,4
奥迪Q3 2013款 35 TFSI 舒适型,14.78,34.3,2015,5.9,2.0T,0,6
马自达CX-4 2016款 2.0L 自动两驱蓝天活力版,10.6,16.59,2016,6.35,2.0L,0,5
福特 嘉年华 2009款 两厢 1.5L 自动时尚型,2.9,10.41,2010,10.44,1.5L,0,11
宝马1系 2013款 改款 116i 都市型(进口),11.3,30.61,2014,12.0,1.6T,0,7
宝马3系 2017款 320i M运动型,20.88,34.74,2017,7.31,2.0T,0,4
马自达CX-4 2018款 2.0L 自动两驱蓝天活力版 国V,12.18,16.59,2018,1.07,2.0L,0,3
大众 迈腾 2012款 3.0FSI 旗舰型,9.5,36.34,2012,11.27,3.0L,0,9
吉利 帝豪 2018款 1.5L CVT向上互联版,6.43,9.96,2018,3.68,1.5L,0,3
宝马3系 2018款 320Li 时尚型,25.9,35.15,2018,4.8,2.0T,0,3
丰田 RAV4 2013款 2.0L CVT四驱新锐版,12.4,24.94,2014,6.81,2.0L,0,7
奔驰GLA级 2017款 GLA 200 时尚型,19.26,31.57,2017,3.41,1.6T,0,4
别克 英朗 2019款 18T 自动互联旗舰型 国V,7.48,15.62,2019,3.04,1.3T,0,2
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.9,15.72,2013,8.4,1.4T,0,8
吉利 帝豪GL 2017款 1.8L 自动精英型,6.3,10.4,2017,5.42,1.8L,0,4
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.98,9.31,2018,2.61,1.5L,0,3
大众 速腾 2018款 180TSI DSG臻享版,9.8,16.37,2018,3.0,1.2T,0,3
吉利 帝豪 2019款 领军版 1.5L CVT豪华型 国VI,6.85,9.31,2020,0.46,1.5L,0,1
大众 速腾 2014款 改款 1.4TSI 自动豪华型,7.48,18.21,2015,6.6,1.4T,0,6
日产 逍客 2016款 2.0L CVT豪华版,9.68,18.21,2016,8.9,2.0L,0,5
福特 锐界 2017款 EcoBoost 245 四驱旗舰型 7座,18.5,40.14,2017,9.38,2.0T,0,4
大众 迈腾 2017款 380TSI DSG 豪华型,16.3,27.13,2017,6.85,2.0T,0,4
马自达 阿特兹 2017款 2.5L 蓝天尊崇版,14.6,23.42,2017,8.1,2.5L,0,4
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,20.68,47.54,2014,9.53,3.0L,0,7
大众CC 2016款 1.8TSI 尊贵型,14.78,27.44,2016,12.69,1.8T,0,5
大众 宝来 2011款 1.6L 自动时尚型,3.5,13.0,2010,10.2,1.6L,0,11
大众 途观 2012款 1.8TSI 自动两驱风尚版,8.98,25.38,2013,11.55,1.8T,0,8
马自达CX-5 2017款 2.5L 自动两驱智尊型 国V,16.98,23.86,2019,1.4,2.5L,0,2
大众 速腾 2012款 1.4TSI 自动时尚型,7.38,16.91,2013,12.85,1.4T,0,8
大众 速腾 2018款 1.6L 自动舒适型,9.39,16.04,2019,6.1,1.6L,0,2
马自达 昂克赛拉 2014款 三厢 1.5L 自动舒适型,6.98,13.67,2015,6.79,1.5L,0,6
比亚迪 秦 2015款 1.5T 双冠旗舰Plus版,9.64,23.86,2017,1.8,1.5T,0,4
别克 英朗 2010款 GT 1.8L 自动时尚版,3.3,17.62,2010,11.38,1.8L,0,11
大众 捷达 2015款 1.4L 手动时尚型,4.18,8.99,2016,5.81,1.4L,1,5
现代 瑞纳 2014款 1.6L 自动领先型GLX,5.88,10.84,2016,5.2,1.4L,0,5
大众 速腾 2015款 1.6L 自动舒适型,7.48,16.37,2015,8.6,1.6L,0,6
丰田 锐志 2010款 2.5V 风度菁英版,12.2,24.94,2012,8.5,2.5L,0,9
福特 翼虎 2015款 1.5L GTDi 两驱风尚型,8.65,23.64,2016,7.85,1.5T,0,5
大众 途观 2012款 2.0TSI 舒适版(进口),10.8,39.73,2013,14.0,2.0T,0,8
吉利 帝豪GS 2018款 运动版 1.4T 自动领尚型,7.18,10.94,2018,3.17,1.4T,0,3
斯柯达 晶锐 2008款 1.6L 自动晶享版,3.2,12.8,2010,11.53,1.6L,0,11
起亚K5 2016款 2.0L 自动GLS,10.5,17.89,2017,8.6,2.0L,0,4
现代 索纳塔八 2011款 2.0L 自动领先版,6.9,19.53,2012,10.5,2.0L,0,9
福特 福克斯 2015款 两厢 1.6L 自动风尚型,6.98,14.85,2016,6.2,1.6L,0,5
大众 高尔夫 2016款 1.6L 自动时尚型,9.0,14.53,2017,2.7,1.6L,0,4
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,7.68,21.36,2014,5.31,2.0L,0,7
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,6.8,16.05,2014,8.6,1.4T,0,7
大众 迈腾 2019款 330TSI DSG 领先型 国V,17.8,23.35,2019,4.52,2.0T,0,2
